advisory_number,name,advisory_datetime,actual,current,alertcolor,country,latitude,longitude,wind_speed,wind_gusts,pressure,pop,pop39,pop74,popstormsurge,alertscore,windrad_nm_34kt_ne,windrad_nm_34kt_se,windrad_nm_34kt_sw,windrad_nm_34kt_nw,windrad_nm_50kt_ne,windrad_nm_50kt_se,windrad_nm_50kt_sw,windrad_nm_50kt_nw,windrad_nm_64kt_ne,windrad_nm_64kt_se,windrad_nm_64kt_sw,windrad_nm_64kt_nw,storm_status
1,TWELVE-26,2026-07-27 00:00:00,True,false,GREEN,,12.8,178.3,15.432,20.576,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Tropical Depression
2,DOLPHIN-26,2026-07-27 06:00:00,True,false,GREEN,,13.4,176.7,18.004,23.148,0,0,0,0,0,1,95,0,0,95,0,0,0,0,0,0,0,0,Tropical Storm
3,DOLPHIN-26,2026-07-27 12:00:00,True,false,GREEN,,13.6,175.2,23.148,28.292,0,0,0,0,0,1,95,0,0,95,0,0,0,0,0,0,0,0,Tropical Storm
4,DOLPHIN-26,2026-07-27 18:00:00,True,false,GREEN,,13.2,173.7,23.148,28.292,0,0,0,0,0,1,80,0,0,85,0,0,0,0,0,0,0,0,Tropical Storm
5,DOLPHIN-26,2026-07-28 00:00:00,True,false,GREEN,,13.0,172.8,30.864,38.58,0,0,0,0,0,1,85,30,25,80,30,0,0,25,0,0,0,0,Tropical Storm
6,DOLPHIN-26,2026-07-28 06:00:00,True,false,GREEN,Marshall Islands,13.3,171.7,38.58,46.296,0,0,0,0,0,1,70,45,50,70,30,15,15,30,15,5,5,15,Hurricane/Typhoon > 74 mph
7,DOLPHIN-26,2026-07-28 12:00:00,True,false,GREEN,Marshall Islands,13.4,170.7,51.44,64.3,0,0,0,0,0,1,70,55,55,70,35,25,20,40,15,5,5,15,Hurricane/Typhoon > 74 mph
8,DOLPHIN-26,2026-07-28 18:00:00,True,false,GREEN,Marshall Islands,13.7,169.9,64.3,77.16,0,0,0,0,0,1,90,55,55,70,35,25,20,40,15,10,10,15,Hurricane/Typhoon > 74 mph
9,DOLPHIN-26,2026-07-29 00:00:00,True,false,GREEN,Marshall Islands,14.1,169.1,61.728,74.588,0,0,0,0,0,1,75,70,60,75,40,40,35,40,25,15,15,25,Hurricane/Typhoon > 74 mph
10,DOLPHIN-26,2026-07-29 06:00:00,True,false,GREEN,Marshall Islands,14.5,168.4,61.728,74.588,0,0,0,0,0,1,75,70,60,75,40,40,35,40,25,15,15,25,Hurricane/Typhoon > 74 mph
11,DOLPHIN-26,2026-07-29 12:00:00,True,false,GREEN,Marshall Islands,15.2,167.7,66.872,82.304,0,0,0,0,0,1,90,70,70,90,50,40,40,50,25,15,15,25,Hurricane/Typhoon > 74 mph
12,DOLPHIN-26,2026-07-29 18:00:00,True,false,GREEN,,15.8,166.8,74.588,90.02,0,0,0,0,0,1,110,90,80,100,55,50,50,50,35,35,35,35,Hurricane/Typhoon > 74 mph
13,DOLPHIN-26,2026-07-30 00:00:00,True,false,GREEN,,16.4,165.7,72.016,87.448,0,0,0,0,0,1,120,100,90,100,65,60,60,60,45,45,40,45,Hurricane/Typhoon > 74 mph
14,DOLPHIN-26,2026-07-30 06:00:00,True,false,GREEN,,16.9,164.9,72.016,87.448,0,0,0,0,0,1,110,100,105,100,75,60,65,65,45,40,45,40,Hurricane/Typhoon > 74 mph
15,DOLPHIN-26,2026-07-30 12:00:00,True,false,GREEN,,17.5,163.9,66.872,82.304,0,0,0,0,0,1,125,110,105,115,85,65,70,85,55,35,45,50,Hurricane/Typhoon > 74 mph
16,DOLPHIN-26,2026-07-30 18:00:00,True,false,GREEN,,17.9,162.9,69.444,84.876,0,0,0,0,0,1,150,120,110,140,75,65,60,70,50,45,45,50,Hurricane/Typhoon > 74 mph
17,DOLPHIN-26,2026-07-31 00:00:00,True,false,GREEN,,18.3,161.9,69.444,84.876,0,0,0,0,0,1,150,120,110,140,75,65,60,70,50,45,45,50,Hurricane/Typhoon > 74 mph
18,DOLPHIN-26,2026-07-31 06:00:00,True,false,GREEN,,18.6,161.0,72.016,87.448,0,0,0,0,0,1,150,140,120,145,80,70,65,80,50,45,45,50,Hurricane/Typhoon > 74 mph
19,DOLPHIN-26,2026-07-31 12:00:00,True,false,GREEN,,19.1,160.1,66.872,82.304,0,0,0,0,0,1,190,140,130,155,85,70,75,75,50,45,45,50,Hurricane/Typhoon > 74 mph
