advisory_number,name,advisory_datetime,actual,current,alertcolor,country,latitude,longitude,wind_speed,wind_gusts,pressure,pop,pop39,pop74,popstormsurge,alertscore,windrad_nm_34kt_ne,windrad_nm_34kt_se,windrad_nm_34kt_sw,windrad_nm_34kt_nw,windrad_nm_50kt_ne,windrad_nm_50kt_se,windrad_nm_50kt_sw,windrad_nm_50kt_nw,windrad_nm_64kt_ne,windrad_nm_64kt_se,windrad_nm_64kt_sw,windrad_nm_64kt_nw,storm_status
20,DOLPHIN-26,2026-07-31 18:00:00,True,false,GREEN,,19.8,159.1,64.3,77.16,0,0,0,0,0,1,190,140,130,155,85,75,75,80,50,45,45,50,Hurricane/Typhoon > 74 mph
21,DOLPHIN-26,2026-08-01 00:00:00,True,false,GREEN,,20.2,158.3,64.3,77.16,0,0,0,0,0,1,200,160,140,180,100,80,80,90,50,50,45,50,Hurricane/Typhoon > 74 mph
22,DOLPHIN-26,2026-08-01 06:00:00,True,false,GREEN,,20.8,157.5,61.728,74.588,0,0,148,0,0,1,200,160,140,180,100,80,80,90,50,50,45,50,Hurricane/Typhoon > 74 mph
23,DOLPHIN-26,2026-08-01 12:00:00,True,false,GREEN,,21.6,156.2,61.728,74.588,0,0,148,0,0,1,200,160,140,150,120,80,75,105,90,65,55,65,Hurricane/Typhoon > 74 mph
24,DOLPHIN-26,2026-08-01 18:00:00,True,false,GREEN,,22.1,154.9,64.3,77.16,0,0,148,0,0,1,200,160,140,180,130,80,75,105,90,60,55,65,Hurricane/Typhoon > 74 mph
25,DOLPHIN-26,2026-08-02 00:00:00,True,false,GREEN,,22.7,153.5,64.3,77.16,0,0,148,0,0,1,240,180,150,210,140,90,70,100,80,40,30,60,Hurricane/Typhoon > 74 mph
26,DOLPHIN-26,2026-08-02 06:00:00,True,false,GREEN,,23.2,152.2,61.728,74.588,0,0,148,0,0,1,240,170,150,210,120,90,70,100,70,40,30,60,Hurricane/Typhoon > 74 mph
27,DOLPHIN-26,2026-08-02 12:00:00,True,false,GREEN,,23.6,150.9,56.584,69.444,0,0,148,0,0,1,240,170,150,210,140,130,110,140,115,100,65,100,Hurricane/Typhoon > 74 mph
28,DOLPHIN-26,2026-08-02 18:00:00,True,false,GREEN,,24.0,149.4,54.012,66.872,0,0,0,0,0,1,240,170,160,190,140,100,85,110,85,45,45,75,Hurricane/Typhoon > 74 mph
29,DOLPHIN-26,2026-08-03 00:00:00,True,false,GREEN,,24.4,148.4,51.44,64.3,0,0,986,0,0,1,230,170,160,210,130,90,50,100,80,30,30,70,Hurricane/Typhoon > 74 mph
30,DOLPHIN-26,2026-08-03 06:00:00,True,false,GREEN,,25.0,147.1,48.868,59.156,0,0,3113,0,0,1,230,170,160,210,120,90,50,100,80,30,30,70,Hurricane/Typhoon > 74 mph
31,DOLPHIN-26,2026-08-03 12:00:00,True,true,GREEN,,25.0,145.7,46.296,56.584,0,0,3113,0,0,1,230,170,160,210,120,90,50,100,80,30,30,70,Hurricane/Typhoon > 74 mph
31,DOLPHIN-26,2026-08-04 00:00:00,False,false,GREEN,,25.3,143.1,43.724,54.012,0,0,3113,2127,0,1,230,170,170,220,120,100,70,110,70,50,40,60,Hurricane/Typhoon > 74 mph
31,DOLPHIN-26,2026-08-04 12:00:00,False,false,GREEN,,25.4,140.5,43.724,54.012,0,0,3113,2127,0,1,230,190,180,230,130,100,80,110,80,50,40,70,Hurricane/Typhoon > 74 mph
31,DOLPHIN-26,2026-08-05 00:00:00,False,false,GREEN,,25.6,138.0,43.724,54.012,0,0,5429,0,0,1,250,200,190,250,130,110,80,120,80,60,60,70,Hurricane/Typhoon > 74 mph
31,DOLPHIN-26,2026-08-05 12:00:00,False,false,GREEN,Japan,25.9,135.4,43.724,54.012,0,0,145804,0,0,1,260,190,190,270,130,110,90,120,80,60,60,70,Hurricane/Typhoon > 74 mph
31,DOLPHIN-26,2026-08-06 00:00:00,False,false,GREEN,Japan,26.2,133.0,43.724,54.012,0,0,1543724,2316,0,1,250,200,190,270,130,110,90,120,80,70,50,80,Hurricane/Typhoon > 74 mph
31,DOLPHIN-26,2026-08-06 12:00:00,False,false,GREEN,Japan,26.5,130.9,43.724,54.012,0,2316,1656310,1428523,0,1,260,200,200,250,130,110,80,130,80,60,50,70,Hurricane/Typhoon > 74 mph
31,DOLPHIN-26,2026-08-07 12:00:00,False,false,GREEN,Japan,27.0,127.7,43.724,54.012,0,1381135,47501341,1401711,0,1,260,220,230,240,130,100,100,120,70,50,50,70,Hurricane/Typhoon > 74 mph
31,DOLPHIN-26,2026-08-08 12:00:00,False,false,GREEN,,27.4,124.8,41.152,51.44,0,0,0,0,0,1,260,250,270,250,130,110,120,120,90,60,50,70,Hurricane/Typhoon > 74 mph
